Fast,Bounding Box,Geometry,GeoNames ID,State Abbv,State Name,County_FIPS,STATEFP,NAMELSAD
Alaska--Prince of Wales-Hyder Census Area,"-134.67,54.63,-130.00,57.17","MultiPolygon (((-131.7 55.1, -131.69 55.11, -131.64 55.25, -131.59 55.29, -131.49 55.28, -131.45 55.24, -131.37 55.23, -131.24 55.17, -131.34 55, -131.46 54.99, -131.51 55.02, -131.59 54.98, -131.82 54.97, -131.79 54.94, -131.76 54.69, -133.65 54.63, -133.74 54.82, -133.79 55, -133.61 55.18, -133.69 55.2, -133.71 55.23, -133.78 55.28, -133.78 55.32, -133.76 55.35, -133.77 55.39, -133.87 55.4, -133.91 55.43, -133.9 55.46, -133.86 55.48, -133.8 55.63, -133.87 55.66, -133.89 55.68, -133.88 55.72, -133.83 55.74, -133.85 55.76, -133.84 55.79, -133.94 55.78, -134 55.8, -134.03 55.89, -134.05 55.85, -134.19 55.69, -134.5 55.78, -134.59 55.82, -134.65 55.87, -134.62 55.91, -134.51 55.96, -134.49 55.99, -134.67 56.15, -134.67 56.28, -134.43 56.28, -",http://sws.geonames.org/11550055,AK,Alaska,198,02,Prince of Wales-Hyder Census Area
Alaska--Kusilvak Census Area,"-166.29,60.92,-160.19,63.32","MultiPolygon (((-166.29 61.6, -166.23 61.8, -166.17 61.85, -166.11 61.87, -166.08 61.98, -166.13 62.03, -166.1 62.07, -166.01 62.12, -165.9 62.12, -165.87 62.15, -165.74 62.2, -165.45 62.39, -165.42 62.44, -165.38 62.47, -165.39 62.49, -165.35 62.53, -165.34 62.58, -165.28 62.61, -165.21 62.61, -165.25 62.65, -165.26 62.69, -165.25 62.71, -165.17 62.74, -165.06 62.73, -164.99 62.76, -165.02 62.78, -165.04 62.83, -165 62.87, -164.94 62.88, -164.92 62.9, -164.92 62.93, -164.9 62.95, -164.91 63, -164.89 63.02, -164.9 63.05, -164.83 63.08, -164.74 63.09, -164.75 63.11, -164.73 63.12, -164.5 63.25, -164.4 63.28, -164.13 63.32, -164.02 63.31, -163.66 63.25, -163.58 63.21, -163.46 63.17, -163.25 63.09, -163.12 63.1, -162.96 63.18, -162.94 63.22, -",http://sws.geonames.org/11550056,AK,Alaska,158,02,Kusilvak Census Area
Alaska--Copper River Census Area,"-147.74,60.39,-141.00,63.22","MultiPolygon (((-147.74 61.43, -147.21 61.43, -147.21 61.47, -146.94 61.47, -146.94 61.82, -146.96 61.82, -146.96 62.16, -146.98 62.16, -146.98 62.25, -146.42 62.25, -146.44 62.86, -146.45 62.86, -146.45 62.96, -146.49 62.96, -146.49 63.17, -146.34 63.19, -146.15 63.18, -146.11 63.2, -146.11 63.22, -145.15 63.22, -145.15 63.13, -144.58 63.13, -144.58 63.12, -143.13 63.12, -143.14 63.11, -143.12 63.09, -143.12 63.06, -143.13 63.04, -143.08 63.03, -143.1 63.01, -143 63, -143 62.98, -143.04 62.97, -143.03 62.93, -143.07 62.92, -143.06 62.9, -143.1 62.88, -143.15 62.86, -143.17 62.83, -143.21 62.83, -143.17 62.8, -143.01 62.77, -143.09 62.7, -143.14 62.7, -143.12 62.67, -143.17 62.66, -143.15 62.63, -143.08 62.61, -143.01 62.62, -142.96 62.6, -",http://sws.geonames.org/12261501,AK,Alaska,066,02,Copper River Census Area
Alaska--Chugach Census Area,"-148.95,59.33,-141.96,61.43","MultiPolygon (((-146.51 59.39, -146.49 59.42, -146.43 59.47, -146.43 59.56, -146.36 59.59, -146.26 59.57, -146.24 59.54, -146.24 59.52, -146.19 59.5, -146.15 59.44, -146.16 59.4, -146.25 59.36, -146.36 59.34, -146.47 59.35, -146.51 59.39)),((-148.95 59.89, -148.59 59.94, -148.59 60.06, -148.57 60.06, -148.56 60.13, -148.56 60.42, -148.66 60.42, -148.66 60.73, -148.75 60.73, -148.75 60.82, -148.74 60.85, -148.47 60.85, -148.46 61.43, -147.74 61.43, -147.74 61.34, -147.21 61.34, -147.2 61.3, -146.21 61.3, -146.2 61.21, -144.42 61.21, -144.43 61.04, -143.72 61.04, -143.71 60.85, -143.41 60.85, -143.41 60.76, -142.87 60.79, -142.86 60.6, -141.96 60.61, -141.96 60.52, -143.19 60.52, -143.89 60.02, -143.9 59.94, -144.03 59.92, -144.14 59.92, -144",http://sws.geonames.org/12261502,AK,Alaska,063,02,Chugach Census Area
Alabama--Russell County,"-85.44,32.06,-84.89,32.51","MultiPolygon (((-85.17 32.47, -85.06 32.47, -85.06 32.51, -85 32.51, -85 32.45, -84.96 32.42, -84.98 32.41, -84.97 32.39, -84.99 32.39, -84.97 32.38, -85.01 32.33, -84.93 32.3, -84.89 32.26, -84.92 32.25, -84.91 32.24, -84.93 32.22, -84.97 32.22, -84.98 32.21, -84.96 32.2, -85.01 32.18, -85.06 32.13, -85.04 32.09, -85.06 32.06, -85.19 32.06, -85.26 32.15, -85.43 32.15, -85.43 32.41, -85.33 32.41, -85.33 32.47, -85.17 32.47)))",http://sws.geonames.org/4047434,AL,Alabama,113,01,Russell County
Georgia--Long County,"-81.98,31.54,-81.49,32.01","MultiPolygon (((-81.98 31.8, -81.92 31.85, -81.91 31.89, -81.88 31.92, -81.89 31.95, -81.82 32.01, -81.79 31.98, -81.75 31.97, -81.77 31.89, -81.75 31.86, -81.66 31.8, -81.64 31.77, -81.49 31.7, -81.57 31.58, -81.68 31.54, -81.7 31.58, -81.77 31.61, -81.81 31.66, -81.82 31.65, -81.85 31.67, -81.88 31.71, -81.91 31.73, -81.91 31.75, -81.94 31.76, -81.95 31.79, -81.98 31.8)))",http://sws.geonames.org/4048080,GA,Georgia,183,13,Long County
Kentucky--Boone County,"-84.90,38.78,-84.60,39.15","MultiPolygon (((-84.64 39.08, -84.62 39.07, -84.6 38.88, -84.62 38.8, -84.66 38.78, -84.78 38.86, -84.8 38.86, -84.79 38.89, -84.87 38.9, -84.88 38.92, -84.83 38.97, -84.9 39.06, -84.75 39.15, -84.64 39.08)))",http://sws.geonames.org/4048522,KY,Kentucky,015,21,Boone County
Kentucky--Rowan County,"-83.64,38.02,-83.20,38.40","MultiPolygon (((-83.64 38.19, -83.56 38.22, -83.51 38.27, -83.51 38.29, -83.49 38.32, -83.5 38.35, -83.41 38.4, -83.36 38.33, -83.34 38.32, -83.3 38.21, -83.29 38.22, -83.27 38.2, -83.24 38.19, -83.26 38.19, -83.25 38.18, -83.2 38.17, -83.22 38.16, -83.22 38.13, -83.25 38.13, -83.3 38.09, -83.34 38.09, -83.34 38.07, -83.37 38.07, -83.4 38.04, -83.43 38.05, -83.46 38.02, -83.46 38.03, -83.48 38.03, -83.46 38.05, -83.5 38.05, -83.47 38.07, -83.47 38.08, -83.51 38.09, -83.51 38.07, -83.53 38.09, -83.52 38.11, -83.56 38.11, -83.55 38.14, -83.56 38.15, -83.58 38.15, -83.61 38.12, -83.62 38.15, -83.59 38.17, -83.6 38.18, -83.62 38.18, -83.64 38.19)))",http://sws.geonames.org/4048572,KY,Kentucky,205,21,Rowan County
Alabama--Bibb County,"-87.42,32.83,-86.88,33.25","MultiPolygon (((-86.88 33.02, -86.88 32.84, -87.32 32.83, -87.32 32.88, -87.42 32.87, -87.42 33, -87.32 33.01, -87.31 33.09, -87.29 33.12, -87.28 33.13, -87.2 33.13, -87.2 33.2, -87.14 33.24, -87.1 33.22, -87.08 33.25, -87.03 33.25, -87.03 33.17, -86.97 33.16, -86.97 33.1, -86.95 33.1, -86.93 33.06, -86.88 33.05, -86.88 33.02)))",http://sws.geonames.org/4049189,AL,Alabama,007,01,Bibb County
Tennessee--Campbell County,"-84.38,36.18,-83.90,36.59","MultiPolygon (((-84.09 36.22, -84.23 36.24, -84.23 36.19, -84.24 36.18, -84.3 36.22, -84.33 36.21, -84.37 36.22, -84.37 36.26, -84.33 36.28, -84.33 36.39, -84.31 36.38, -84.34 36.42, -84.36 36.46, -84.34 36.47, -84.33 36.51, -84.26 36.51, -84.25 36.56, -84.26 36.57, -84.26 36.59, -83.99 36.59, -83.92 36.43, -83.9 36.42, -83.92 36.39, -83.95 36.4, -83.98 36.28, -84.02 36.27, -84.04 36.3, -84.06 36.25, -84.08 36.25, -84.07 36.23, -84.09 36.22)))",http://sws.geonames.org/4050506,TN,Tennessee,013,47,Campbell County
Alabama--Blount County,"-86.96,33.77,-86.30,34.26","MultiPolygon (((-86.56 33.8, -86.58 33.8, -86.58 33.77, -86.65 33.77, -86.76 33.84, -86.88 33.84, -86.95 33.82, -86.96 33.87, -86.92 33.87, -86.93 33.91, -86.89 33.92, -86.89 33.93, -86.86 33.93, -86.84 33.95, -86.82 33.94, -86.82 33.96, -86.79 33.95, -86.77 33.97, -86.76 34, -86.7 34.04, -86.7 34.06, -86.68 34.05, -86.7 34.08, -86.69 34.09, -86.69 34.08, -86.67 34.08, -86.65 34.11, -86.6 34.12, -86.55 34.19, -86.55 34.21, -86.52 34.23, -86.52 34.25, -86.44 34.26, -86.3 34.1, -86.33 34.05, -86.33 33.98, -86.37 33.94, -86.32 33.93, -86.35 33.91, -86.35 33.88, -86.43 33.82, -86.56 33.8)))",http://sws.geonames.org/4050633,AL,Alabama,009,01,Blount County
Alabama--Bullock County,"-86.00,31.88,-85.41,32.31","MultiPolygon (((-85.62 31.95, -85.66 31.88, -85.79 31.88, -85.79 31.97, -85.88 31.97, -85.89 32.05, -85.95 32.06, -86 32.05, -86 32.25, -85.99 32.25, -85.99 32.27, -85.9 32.27, -85.9 32.31, -85.87 32.27, -85.88 32.25, -85.86 32.23, -85.43 32.23, -85.43 32.15, -85.41 32.14, -85.43 32.14, -85.43 32.01, -85.47 32.02, -85.51 32.01, -85.51 32, -85.59 32, -85.62 31.95)))",http://sws.geonames.org/4052497,AL,Alabama,011,01,Bullock County
Alabama--Butler County,"-86.91,31.52,-86.44,31.96","MultiPolygon (((-86.91 31.96, -86.45 31.96, -86.44 31.84, -86.45 31.66, -86.5 31.66, -86.5 31.53, -86.84 31.53, -86.87 31.55, -86.91 31.63, -86.91 31.96)))",http://sws.geonames.org/4052744,AL,Alabama,013,01,Butler County
