type,label,element_solr_field,position
FormHeader,Identification,,1
FormGroup,Descriptive,,2
FormControl,,dct_title_s,3
FormControl,NULL,dct_alternative_sm,4
FormControl,,dct_description_sm,5
FormControl,,dct_language_sm,6
FormControl,,gbl_displayNote_sm,7
FormGroup,Credits,,8
FormControl,,dct_creator_sm,9
FormControl,,b1g_creatorID_sm,10
FormControl,,dct_publisher_sm,11
FormControl,,schema_provider_s,12
FormGroup,Categories,,13
FormControl,,gbl_resourceClass_sm,14
FormControl,,gbl_resourceType_sm,15
FormControl,,dct_subject_sm,16
FormControl,,dcat_theme_sm,17
FormControl,,dcat_keyword_sm,18
FormGroup,Temporal,,19
FormControl,,dct_temporal_sm,20
FormControl,,dct_issued_s,21
FormControl,,gbl_dateRange_drsim,22
FormGroup,Spatial,,23
FormControl,,dct_spatial_sm,24
FormControl,,dcat_bbox,25
FormControl,,locn_geometry,26
FormControl,,b1g_geonames_sm,27
FormGroup,Relations,,28
FormControl,,dct_relation_sm,29
FormControl,,pcdm_memberOf_sm,30
FormControl,,dct_isPartOf_sm,31
FormControl,,dct_source_sm,32
FormControl,,dct_isVersionOf_sm,33
FormControl,,dct_replaces_sm,34
FormControl,,dct_isReplacedBy_sm,35
FormHeader,Distribution,,36
FormGroup,Object,,37
FormControl,,dct_format_s,38
FormControl,,gbl_fileSize_s,39
FormControl,,gbl_wxsIdentifier_s,40
FormControl,,gbl_georeferenced_b,41
FormGroup,Links,,42
FormControl,,dct_references_s,43
FormControl,,b1g_image_ss,44
FormHeader,Administrative,,46
FormGroup,Codes,,47
FormControl,,geomg_id_s,48
FormControl,,dct_identifier_sm,49
FormControl,,b1g_code_s,50
FormGroup,Rights,,51
FormControl,,dct_accessRights_s,52
FormControl,,dct_rightsHolder_sm,53
FormControl,,dct_license_sm,54
FormControl,,dct_rights_sm,55
FormGroup,Life Cycle,,56
FormControl,,date_created_dtsi,57
FormControl,,date_modified_dtsi,58
FormControl,,b1g_dct_accrualMethod_s,59
FormControl,,b1g_dct_accrualPeriodicity_s,60
FormControl,,b1g_dateAccessioned_dt,61
FormControl,,b1g_dateRetired_dt,62
FormControl,,b1g_publication_state_s,64
FormGroup,Harvesting,,65
FormControl,,b1g_lastHarvested_dt,66
FormControl,,b1g_isHarvested_b,67
FormControl,,b1g_harvestWorkflow_s,68
FormGroup,Administrative Notes,,69
FormControl,,b1g_adminNote_sm,70
FormControl,,b1g_deprioritized_b,71
FormControl,,b1g_dct_provenance_sm,72
FormControl,,b1g_websitePlatform_s,73
FormGroup,Accessibility,,74
FormControl,,gbl_suppressed_b,75
FormControl,,b1g_dct_mediator_sm,76
FormControl,,b1g_access_s,77
FormHeader,Related Items,,78
FormFeature,Licensed Access,,79
